target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
gold,4.0,475,2.268,4.427,21520000000000000000,4775000000000,8.2
gold,4.0,475,110.322,2.428,3479000000000000000000,232300000000000,41.4
gold,4.0,950,65.043,2.696,831800000000000000000,68470000000000,30.2
gold,4.0,475,47.142,3.745,624800000000000000000,99250000000000,8.2
gold,4.0,2280,19.359,2.93,87330000000000000000,8491000000000,14.4
gold,4.0,475,7.128,2.661,187200000000000000000,15010000000000,12.0
gold,4.0,1900,6.966,2.284,62040000000000000000,3666000000000,18.1
gold,4.0,4568,81.648,3.544,125600000000000000000,17870000000000,10.8
plastic,0.258,30,2.3,3.3,621600000000000000000,76660000000000,5.5
plastic,0.611,30,2.324,3.3,628000000000000000000,77450000000000,6.8
plastic,1.08,80,2.33,3.3,236100000000000000000,29120000000000,6.2
plastic,0.567,463,2.372,3.3,41550000000000000000,5124000000000,4.5
plastic,0.593,30,2.304,3.3,622800000000000000000,76810000000000,6.8
plastic,0.527,30,2.41,3.3,651300000000000000000,80320000000000,4.5
plastic,0.545,30,2.363,3.3,638700000000000000000,78770000000000,4.8
plastic,0.553,30,2.423,3.3,654800000000000000000,80760000000000,7.8
plastic,0.951,279,2.323,3.3,67500000000000000000,8325000000000,5.5
plastic,0.581,80,2.395,3.3,242700000000000000000,29940000000000,5.0
plastic,0.562,30,2.448,3.3,661500000000000000000,81580000000000,6.1
plastic,0.813,279,2.36,3.3,68570000000000000000,8457000000000,6.0
plastic,0.526,30,2.383,3.3,644200000000000000000,79440000000000,5.5
plastic,0.43,30,2.33,3.3,629700000000000000000,77660000000000,4.2
plastic,0.547,30,2.381,3.3,643600000000000000000,79380000000000,3.7
plastic,0.863,279,2.319,3.3,67410000000000000000,8313000000000,5.5
plastic,0.793,279,2.3,3.3,66830000000000000000,8242000000000,4.0
plastic,0.677,30,2.313,3.3,625200000000000000000,77110000000000,3.8
plastic,0.557,30,2.322,3.3,627700000000000000000,77410000000000,4.8
plastic,0.452,30,2.324,3.3,628200000000000000000,77470000000000,4.8
plastic,0.292,30,2.308,3.3,623700000000000000000,76920000000000,4.8
plastic,0.263,30,2.327,3.3,628900000000000000000,77560000000000,4.8
plastic,0.656,30,2.351,3.3,635500000000000000000,78370000000000,5.5
plastic,0.27,30,2.338,3.3,632000000000000000000,77950000000000,4.8
plastic,0.713,279,2.357,3.3,68500000000000000000,8448000000000,4.4
plastic,0.273,30,2.323,3.3,627800000000000000000,77430000000000,5.0
plastic,0.269,30,2.325,3.3,628500000000000000000,77510000000000,4.0
plastic,0.846,30,2.419,3.3,653700000000000000000,80620000000000,6.2
plastic,0.784,30,2.388,3.3,645400000000000000000,79590000000000,6.0
plastic,0.942,279,2.326,3.3,67590000000000000000,8336000000000,5.5
plastic,0.651,279,2.391,3.3,69480000000000000000,8569000000000,4.8
plastic,0.754,279,2.36,3.3,68580000000000000000,8458000000000,5.5
plastic,0.099,30,2.347,3.3,634400000000000000000,78240000000000,4.5
plastic,0.555,30,2.384,3.3,644300000000000000000,79460000000000,3.7
plastic,0.265,30,2.262,3.3,611400000000000000000,75410000000000,4.0
plastic,0.709,30,2.465,3.3,666300000000000000000,82180000000000,6.2
plastic,0.595,80,2.42,3.3,245300000000000000000,30250000000000,6.8
plastic,0.975,279,2.36,3.3,68570000000000000000,8457000000000,4.8
plastic,0.282,30,2.329,3.3,629500000000000000000,77630000000000,4.0
plastic,0.587,80,2.453,3.3,248600000000000000000,30660000000000,4.8
plastic,0.565,30,2.305,3.3,623000000000000000000,76840000000000,6.2
plastic,0.284,30,2.318,3.3,626400000000000000000,77250000000000,4.0
plastic,0.879,279,2.359,3.3,68570000000000000000,8456000000000,4.5
plastic,0.738,30,2.397,3.3,647800000000000000000,79900000000000,3.9
plastic,0.647,463,2.386,3.3,41780000000000000000,5152000000000,6.2
plastic,0.265,30,2.34,3.3,632500000000000000000,78000000000000,5.5
plastic,1.041,279,2.318,3.3,67380000000000000000,8310000000000,4.0
plastic,0.99,279,2.35,3.3,68290000000000000000,8422000000000,6.8
plastic,1.054,279,2.297,3.3,66760000000000000000,8233000000000,5.5
