target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.7,279,2.348,3.3,68240000000000000000,8416000000000,4.8
aluminium,5.0,1500,250.0,60.0,4088000000000000000,166700000000000,13.0
polypropylene,10.0,500,164.43,4.746,1289000000000000000000,328900000000000,49.25
polystyrene,0.3,500,93.15,2.954,1885000000000000000000,186300000000000,55.0
plastic,0.633,30,2.353,3.3,636000000000000000000,78440000000000,6.2
gold,4.0,475,102.951,2.652,2720000000000000000000,216700000000000,41.6
plastic,0.741,279,2.38,3.3,69160000000000000000,8530000000000,4.8
plastic,0.807,30,2.441,3.3,659700000000000000000,81360000000000,6.8
plastic,0.597,30,2.402,3.3,649100000000000000000,80060000000000,4.0
plastic,0.739,30,2.374,3.3,641600000000000000000,79120000000000,6.2
