target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
aluminium,5.0,1500,270.0,60.0,4415000000000000000,180000000000000,16.0
gold,4.0,475,90.558,2.222,3410000000000000000000,190600000000000,41.5
gold,1.1,500,28.512,2.448,840400000000000000000,57020000000000,29.7
gold,10.0,500,126.765,3.34,2007000000000000000000,253500000000000,29.8
gold,4.0,475,110.322,2.428,3479000000000000000000,232300000000000,41.4
gold,10.0,500,166.374,2.617,4292000000000000000000,332700000000000,40.0
gold,4.0,475,118.098,2.53,3429000000000000000000,248600000000000,41.6
gold,4.0,475,8.91,2.2,342200000000000000000,18760000000000,11.5
gold,4.0,2280,19.359,2.93,87330000000000000000,8491000000000,14.4
plastic,0.574,279,1.603,3.3,46580000000000000000,5745000000000,4.0
plastic,0.506,463,2.404,3.3,42100000000000000000,5192000000000,4.8
plastic,0.443,30,2.356,3.3,636800000000000000000,78540000000000,3.8
plastic,0.282,30,1.561,3.3,421900000000000000000,52030000000000,4.5
plastic,0.626,30,2.425,3.3,655300000000000000000,80820000000000,6.8
plastic,0.723,30,2.363,3.3,638800000000000000000,78780000000000,5.5
plastic,0.597,30,2.402,3.3,649100000000000000000,80060000000000,4.0
plastic,0.301,30,2.305,3.3,622900000000000000000,76820000000000,6.2
plastic,0.54,30,2.338,3.3,631800000000000000000,77930000000000,4.0
plastic,0.663,30,2.368,3.3,640100000000000000000,78940000000000,6.8
plastic,0.981,187,2.368,3.3,102700000000000000000,12660000000000,6.2
plastic,0.279,30,2.257,3.3,610000000000000000000,75240000000000,4.0
plastic,0.529,30,2.413,3.3,652200000000000000000,80440000000000,6.2
plastic,0.27,30,2.265,3.3,612200000000000000000,75500000000000,4.0
plastic,0.261,30,2.365,3.3,639100000000000000000,78820000000000,4.4
plastic,0.661,279,1.573,3.3,45710000000000000000,5637000000000,5.0
plastic,0.551,30,2.341,3.3,632700000000000000000,78030000000000,4.5
plastic,0.677,279,2.355,3.3,68440000000000000000,8440000000000,4.5
plastic,0.641,187,2.431,3.3,105400000000000000000,13000000000000,8.0
plastic,0.584,30,2.429,3.3,656400000000000000000,80960000000000,4.9
plastic,0.264,30,2.312,3.3,624800000000000000000,77060000000000,3.8
plastic,1.111,187,2.314,3.3,100300000000000000000,12370000000000,4.4
plastic,0.633,187,2.439,3.3,105800000000000000000,13040000000000,6.8
plastic,0.443,30,2.374,3.3,641600000000000000000,79130000000000,6.2
plastic,0.654,279,1.604,3.3,46600000000000000000,5748000000000,4.3
plastic,0.595,279,1.559,3.3,45310000000000000000,5588000000000,4.0
plastic,0.261,30,1.503,3.3,406300000000000000000,50110000000000,4.4
plastic,0.538,30,2.366,3.3,639600000000000000000,78880000000000,4.0
plastic,0.257,30,2.312,3.3,624800000000000000000,77050000000000,4.0
plastic,0.905,279,2.362,3.3,68660000000000000000,8467000000000,4.8
plastic,0.587,80,2.453,3.3,248600000000000000000,30660000000000,4.8
plastic,0.433,279,1.57,3.3,45620000000000000000,5627000000000,4.0
plastic,0.617,30,2.344,3.3,633600000000000000000,78140000000000,5.5
plastic,0.25,30,2.328,3.3,629300000000000000000,77610000000000,5.5
plastic,0.345,30,2.365,3.3,639200000000000000000,78830000000000,4.0
plastic,0.603,463,2.39,3.3,41850000000000000000,5161000000000,5.5
plastic,0.573,30,2.333,3.3,630700000000000000000,77780000000000,4.0
plastic,0.267,30,1.527,3.3,412800000000000000000,50910000000000,5.5
plastic,0.643,279,1.549,3.3,45010000000000000000,5551000000000,4.0
plastic,0.58,463,2.431,3.3,42570000000000000000,5250000000000,4.8
plastic,0.597,279,1.582,3.3,45990000000000000000,5672000000000,4.0
plastic,0.572,30,2.425,3.3,655300000000000000000,80820000000000,6.8
plastic,0.625,30,2.36,3.3,637900000000000000000,78670000000000,6.2
plastic,0.288,30,2.337,3.3,631700000000000000000,77910000000000,4.5
plastic,0.617,463,2.37,3.3,41500000000000000000,5118000000000,4.4
plastic,0.13,30,2.291,3.3,619300000000000000000,76380000000000,3.8
plastic,0.525,30,2.374,3.3,641700000000000000000,79150000000000,4.8
plastic,0.285,30,2.297,3.3,620900000000000000000,76570000000000,4.8
plastic,0.737,279,2.333,3.3,67790000000000000000,8361000000000,4.4
plastic,0.547,80,2.423,3.3,245500000000000000000,30280000000000,5.5
plastic,0.467,80,1.562,3.3,158300000000000000000,19520000000000,4.0
plastic,0.267,279,1.535,3.3,44620000000000000000,5503000000000,4.0
plastic,0.731,30,2.423,3.3,654800000000000000000,80760000000000,6.2
plastic,0.675,279,1.577,3.3,45830000000000000000,5652000000000,4.8
plastic,0.569,30,2.424,3.3,655200000000000000000,80810000000000,6.9
plastic,0.52,30,2.353,3.3,635900000000000000000,78430000000000,6.2
plastic,0.738,30,2.397,3.3,647800000000000000000,79900000000000,3.9
plastic,0.441,463,2.394,3.3,41930000000000000000,5171000000000,4.4
plastic,0.846,30,2.419,3.3,653700000000000000000,80620000000000,6.2
plastic,0.599,30,2.374,3.3,641700000000000000000,79140000000000,5.5
plastic,0.568,279,1.537,3.3,44670000000000000000,5510000000000,3.5
plastic,0.789,30,2.397,3.3,647800000000000000000,79890000000000,6.2
plastic,0.395,30,2.352,3.3,635600000000000000000,78390000000000,4.8
plastic,0.796,30,2.413,3.3,652100000000000000000,80420000000000,6.8
plastic,0.606,279,1.548,3.3,44980000000000000000,5548000000000,4.3
plastic,0.264,30,2.314,3.3,625300000000000000000,77120000000000,6.0
plastic,0.593,30,2.357,3.3,637100000000000000000,78570000000000,6.2
plastic,0.507,279,1.537,3.3,44650000000000000000,5507000000000,4.5
plastic,0.586,30,2.37,3.3,640500000000000000000,79000000000000,6.2
plastic,0.818,30,2.429,3.3,656400000000000000000,80960000000000,6.8
plastic,0.445,279,1.589,3.3,46170000000000000000,5695000000000,4.8
plastic,1.102,30,2.341,3.3,632700000000000000000,78030000000000,6.8
plastic,0.323,30,2.331,3.3,630100000000000000000,77710000000000,6.2
plastic,0.825,30,1.527,3.3,412700000000000000000,50890000000000,4.5
plastic,0.898,142,2.357,3.3,134600000000000000000,16600000000000,4.0
plastic,0.812,279,2.346,3.3,68190000000000000000,8410000000000,6.0
plastic,0.27,30,2.324,3.3,628000000000000000000,77450000000000,4.4
plastic,1.07,30,2.356,3.3,636700000000000000000,78530000000000,6.2
plastic,0.662,30,2.333,3.3,630500000000000000000,77760000000000,6.2
plastic,0.675,279,1.548,3.3,44990000000000000000,5549000000000,6.2
plastic,0.547,30,2.423,3.3,654900000000000000000,80770000000000,5.5
plastic,0.593,30,2.447,3.3,661300000000000000000,81550000000000,6.1
plastic,0.559,30,2.335,3.3,631000000000000000000,77820000000000,3.8
plastic,0.618,30,2.409,3.3,651000000000000000000,80290000000000,6.2
plastic,0.978,279,2.295,3.3,66700000000000000000,8227000000000,6.2
plastic,0.547,463,2.452,3.3,42930000000000000000,5295000000000,4.8
plastic,0.901,279,2.341,3.3,68030000000000000000,8390000000000,5.4
plastic,0.695,279,2.362,3.3,68640000000000000000,8466000000000,5.0
plastic,0.802,30,2.448,3.3,661800000000000000000,81610000000000,6.2
plastic,1.062,279,2.327,3.3,67630000000000000000,8341000000000,3.8
plastic,0.268,30,1.542,3.3,416900000000000000000,51410000000000,4.0
plastic,0.792,30,2.409,3.3,651100000000000000000,80300000000000,6.2
plastic,0.261,30,2.326,3.3,628800000000000000000,77550000000000,4.8
plastic,0.834,463,2.328,3.3,40770000000000000000,5028000000000,4.8
plastic,0.545,30,2.377,3.3,642500000000000000000,79230000000000,4.0
plastic,0.61,30,2.425,3.3,655400000000000000000,80830000000000,3.4
plastic,0.3,30,2.27,3.3,613500000000000000000,75670000000000,4.5
plastic,0.997,187,2.354,3.3,102100000000000000000,12590000000000,6.2
plastic,0.598,30,2.348,3.3,634500000000000000000,78260000000000,4.8
plastic,0.751,30,2.468,3.3,667200000000000000000,82280000000000,8.0
plastic,0.273,30,2.304,3.3,622700000000000000000,76800000000000,4.8
plastic,0.54,30,2.338,3.3,631900000000000000000,77930000000000,4.8
plastic,0.261,30,2.348,3.3,634700000000000000000,78280000000000,4.4
plastic,0.253,30,1.523,3.3,411500000000000000000,50760000000000,4.5
plastic,0.839,463,2.355,3.3,41250000000000000000,5087000000000,5.5
plastic,0.583,463,2.415,3.3,42290000000000000000,5216000000000,4.8
plastic,0.571,30,1.545,3.3,417600000000000000000,51500000000000,5.5
plastic,0.767,30,2.44,3.3,659500000000000000000,81330000000000,6.8
plastic,0.561,30,2.387,3.3,645200000000000000000,79580000000000,4.8
plastic,0.764,279,2.323,3.3,67510000000000000000,8326000000000,6.0
plastic,0.626,279,1.609,3.3,46760000000000000000,5767000000000,4.0
plastic,0.284,30,2.318,3.3,626400000000000000000,77250000000000,4.0
plastic,0.587,279,1.597,3.3,46410000000000000000,5724000000000,4.0
plastic,0.279,30,2.308,3.3,623900000000000000000,76950000000000,4.8
plastic,0.605,30,2.352,3.3,635800000000000000000,78410000000000,4.8
plastic,0.678,279,1.569,3.3,45580000000000000000,5622000000000,3.8
plastic,0.685,30,2.419,3.3,653900000000000000000,80650000000000,4.3
plastic,0.283,30,2.377,3.3,642400000000000000000,79230000000000,3.8
plastic,0.561,80,2.4,3.3,243300000000000000000,30000000000000,4.0
plastic,0.954,279,2.339,3.3,67970000000000000000,8382000000000,6.0
plastic,0.107,30,2.298,3.3,621100000000000000000,76600000000000,4.5
plastic,0.292,30,2.285,3.3,617700000000000000000,76180000000000,3.8
plastic,0.597,279,1.567,3.3,45540000000000000000,5617000000000,4.5
plastic,0.676,187,2.38,3.3,103200000000000000000,12730000000000,4.0
plastic,0.653,187,1.533,3.3,66460000000000000000,8196000000000,4.8
plastic,0.742,30,2.409,3.3,651000000000000000000,80290000000000,6.8
plastic,0.8,30,2.43,3.3,656800000000000000000,81010000000000,6.8
plastic,0.524,30,2.427,3.3,656000000000000000000,80910000000000,4.8
plastic,0.571,30,2.409,3.3,651200000000000000000,80320000000000,4.8
plastic,0.265,30,1.529,3.3,413300000000000000000,50970000000000,4.0
plastic,0.71,279,2.332,3.3,67760000000000000000,8357000000000,4.4
plastic,0.291,30,2.441,3.3,659800000000000000000,81370000000000,4.8
plastic,0.569,30,2.408,3.3,650800000000000000000,80260000000000,4.3
polypropylene,0.8,500,153.9,4.711,1224000000000000000000,307800000000000,80.8
polystyrene,1.0,500,102.06,3.509,1464000000000000000000,204100000000000,49.0
polystyrene,0.5,500,135.756,4.709,1081000000000000000000,271500000000000,64.5
polystyrene,0.3,500,5.67,2.88,120800000000000000000,11340000000000,7.0
polystyrene,0.8,500,122.472,2.626,3137000000000000000000,244900000000000,79.2
polystyrene,0.3,500,112.59,3.354,1768000000000000000000,225200000000000,55.0
polystyrene,0.3,500,148.554,5.942,743000000000000000000,297100000000000,64.1
plastic,0.499,30,1.541,3.3,416600000000000000000,51380000000000,4.5
