target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.739,30,2.369,3.3,640400000000000000000,78980000000000,4.4
polypropylene,10.0,500,164.43,4.746,1289000000000000000000,328900000000000,49.25
aluminium,5.0,1500,250.0,60.0,4088000000000000000,166700000000000,13.0
polystyrene,0.3,500,93.15,2.954,1885000000000000000000,186300000000000,55.0
plastic,0.756,187,2.328,3.3,101000000000000000000,12450000000000,3.8
plastic,0.741,279,2.329,3.3,67680000000000000000,8347000000000,6.2
gold,4.0,475,102.951,2.652,2720000000000000000000,216700000000000,41.6
ch,50.0,610,450.0,50.0,26060000000000000000,737700000000000,50.0
titanium,33.0,1600,1100.0,100.0,6071000000000000000,687500000000000,18.0
plastic,0.55,80,2.409,3.3,244200000000000000000,30110000000000,4.4
