target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
plastic,0.789,30,2.397,3.3,647800000000000000000,79890000000000,6.2
polypropylene,0.1,500,135.27,4.458,1202000000000000000000,270500000000000,49.25
plastic,0.595,30,2.415,3.3,652600000000000000000,80490000000000,3.8
plastic,0.125,30,2.321,3.3,627200000000000000000,77360000000000,3.8
aluminium,6.0,60,7.0,15.0,45780000000000000000,116700000000000,8.0
plastic,0.588,279,1.602,3.3,46560000000000000000,5742000000000,4.0
plastic,0.535,279,1.565,3.3,45490000000000000000,5610000000000,3.6
plastic,0.689,30,2.345,3.3,633900000000000000000,78180000000000,5.5
plastic,0.674,279,2.359,3.3,68570000000000000000,8457000000000,3.8
plastic,0.606,279,1.548,3.3,44980000000000000000,5548000000000,4.3
plastic,0.568,279,1.537,3.3,44670000000000000000,5510000000000,3.5
ch,50.0,610,450.0,50.0,26060000000000000000,737700000000000,50.0
plastic,0.836,30,2.394,3.3,647200000000000000000,79810000000000,5.5
plastic,0.581,30,2.456,3.3,663900000000000000000,81870000000000,7.8
copper,5.0,400,4.6,5.5,33570000000000000000,11500000000000,6.7
plastic,0.287,30,1.531,3.3,413700000000000000000,51020000000000,4.4
plastic,0.278,30,2.331,3.3,629900000000000000000,77690000000000,4.8
gold,4.0,475,2.268,4.427,21520000000000000000,4775000000000,8.2
polystyrene,1.5,500,135.27,3.473,1980000000000000000000,270500000000000,75.0
plastic,0.623,463,2.423,3.3,42430000000000000000,5233000000000,5.5
plastic,0.499,30,2.382,3.3,643800000000000000000,79400000000000,4.5
titanium,33.0,9600,2600.0,100.0,2391000000000000000,270800000000000,14.0
plastic,0.601,187,2.445,3.3,106000000000000000000,13070000000000,6.8
plastic,0.756,187,2.328,3.3,101000000000000000000,12450000000000,3.8
plastic,0.593,187,1.552,3.3,67290000000000000000,8299000000000,4.0
