target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
aluminium,5.0,1500,250.0,60.0,4088000000000000000,166700000000000,13.0
ch,10.0,660,409.0,50.0,21890000000000000000,619700000000000,40.0
copper,50.0,700,296.0,29.6,42620000000000000000,422900000000000,61.0
gold,1.1,500,54.27,2.127,2118000000000000000000,108500000000000,30.0
gold,4.0,475,7.128,2.661,187200000000000000000,15010000000000,12.0
plastic,0.509,279,1.55,3.3,45050000000000000000,5557000000000,4.0
plastic,0.547,463,2.452,3.3,42930000000000000000,5295000000000,4.8
plastic,0.595,279,1.559,3.3,45320000000000000000,5589000000000,3.6
plastic,0.253,30,2.348,3.3,634700000000000000000,78270000000000,3.8
plastic,0.621,187,2.421,3.3,105000000000000000000,12940000000000,6.2
plastic,0.637,187,2.42,3.3,104900000000000000000,12940000000000,6.8
plastic,0.432,30,1.548,3.3,418400000000000000000,51600000000000,4.5
plastic,0.536,30,2.423,3.3,654900000000000000000,80770000000000,4.0
plastic,0.553,30,2.354,3.3,636200000000000000000,78460000000000,4.5
plastic,0.561,279,1.568,3.3,45580000000000000000,5621000000000,4.4
plastic,0.443,30,2.356,3.3,636800000000000000000,78540000000000,3.8
plastic,0.549,30,2.379,3.3,643100000000000000000,79310000000000,5.5
plastic,0.515,30,2.414,3.3,652300000000000000000,80450000000000,6.8
plastic,0.739,30,2.374,3.3,641600000000000000000,79120000000000,6.2
plastic,0.581,80,2.395,3.3,242700000000000000000,29940000000000,5.0
plastic,0.648,279,1.513,3.3,43970000000000000000,5422000000000,4.3
plastic,0.601,30,2.443,3.3,660200000000000000000,81430000000000,6.1
plastic,0.814,30,2.459,3.3,664500000000000000000,81950000000000,6.8
plastic,0.69,279,1.564,3.3,45440000000000000000,5604000000000,4.0
plastic,0.571,30,1.545,3.3,417600000000000000000,51500000000000,5.5
plastic,0.557,30,2.36,3.3,637900000000000000000,78670000000000,4.5
plastic,0.294,30,2.314,3.3,625300000000000000000,77120000000000,4.4
plastic,0.584,279,2.399,3.3,69710000000000000000,8597000000000,3.8
plastic,0.802,30,2.448,3.3,661800000000000000000,81610000000000,6.2
plastic,0.491,30,1.528,3.3,413100000000000000000,50950000000000,4.5
plastic,0.685,30,2.336,3.3,631300000000000000000,77860000000000,6.2
plastic,0.522,30,1.583,3.3,427800000000000000000,52760000000000,4.5
plastic,0.718,30,2.417,3.3,653200000000000000000,80570000000000,6.5
plastic,0.569,30,2.346,3.3,634000000000000000000,78200000000000,4.3
plastic,0.832,80,2.347,3.3,237900000000000000000,29340000000000,6.2
plastic,0.715,30,2.391,3.3,646300000000000000000,79710000000000,6.2
plastic,0.617,279,1.573,3.3,45710000000000000000,5638000000000,4.5
plastic,0.258,30,2.3,3.3,621600000000000000000,76660000000000,5.5
plastic,0.71,279,2.332,3.3,67760000000000000000,8357000000000,4.4
plastic,0.579,80,2.485,3.3,251900000000000000000,31070000000000,6.8
plastic,0.525,463,2.401,3.3,42050000000000000000,5187000000000,6.2
plastic,0.545,30,1.551,3.3,419300000000000000000,51710000000000,4.5
plastic,0.788,279,2.328,3.3,67650000000000000000,8343000000000,4.5
plastic,0.7,279,2.348,3.3,68240000000000000000,8416000000000,4.8
plastic,0.678,279,1.569,3.3,45580000000000000000,5622000000000,3.8
plastic,0.288,30,1.515,3.3,409500000000000000000,50510000000000,4.0
plastic,0.783,30,2.442,3.3,660000000000000000000,81390000000000,6.2
plastic,0.295,30,2.323,3.3,628000000000000000000,77450000000000,4.4
polypropylene,0.8,500,146.61,4.406,1334000000000000000000,293200000000000,54.5
polystyrene,0.3,500,174.96,3.103,3210000000000000000000,349900000000000,70.0
